k,p,realization,N,E,k_mean,C,L,lambda2
4,0.5,17,100,200,4.0,0.1217142857142857,3.64,0.42895406086864174
4,0.5,18,100,200,4.0,0.08154761904761905,3.5115151515151517,0.5582855016389635
4,0.5,19,100,200,4.0,0.114,3.644040404040404,0.44121011992490067
4,0.5,20,100,200,4.0,0.06376190476190476,3.4856565656565657,0.5551705229783279
4,0.5,21,100,200,4.0,0.08580952380952381,3.545858585858586,0.5154871612670383
4,0.5,22,100,200,4.0,0.12373809523809523,3.564848484848485,0.5243153376117082
4,0.5,23,100,200,4.0,0.10097619047619048,3.488080808080808,0.4871647349977749
4,0.5,24,100,200,4.0,0.1467857142857143,3.64020202020202,0.48550374577640254
4,0.5,25,100,200,4.0,0.09561904761904762,3.59010101010101,0.47444010424085414
4,0.5,26,100,200,4.0,0.06866666666666667,3.5656565656565657,0.44671022923099146
4,0.5,27,100,200,4.0,0.08614285714285713,3.5654545454545454,0.5322863778788404
4,0.5,28,100,200,4.0,0.10214285714285713,3.5747474747474746,0.5115482905230654
4,0.5,29,100,200,4.0,0.08516666666666665,3.5127272727272727,0.605269526092573
4,0.7,0,100,200,4.0,0.06133333333333333,3.4903030303030302,0.5300966567710108
4,0.7,1,100,200,4.0,0.03966666666666667,3.476969696969697,0.5867895191066722
4,0.7,2,100,200,4.0,0.06133333333333333,3.554141414141414,0.5160165440705228
4,0.7,3,100,200,4.0,0.05778571428571429,3.53010101010101,0.5577341213967799
4,0.7,4,100,200,4.0,0.046523809523809516,3.4763636363636365,0.5538418803100345
4,0.7,5,100,200,4.0,0.07778571428571429,3.4757575757575756,0.5585542019815963
4,0.7,6,100,200,4.0,0.06971428571428571,3.4775757575757575,0.4738716085638312
4,0.7,7,100,200,4.0,0.07016666666666667,3.444848484848485,0.6006144182463802
4,0.7,8,100,200,4.0,0.05208730158730159,3.47010101010101,0.5263002376797168
4,0.7,9,100,200,4.0,0.05735714285714286,3.435959595959596,0.4788509971769728
4,0.7,10,100,200,4.0,0.04942857142857143,3.4838383838383837,0.5800805773235372
4,0.7,11,100,200,4.0,0.036809523809523806,3.500808080808081,0.4688815560780121
4,0.7,12,100,200,4.0,0.031142857142857142,3.5036363636363634,0.5489354664185263
4,0.7,13,100,200,4.0,0.07435714285714286,3.515959595959596,0.47454375978678354
4,0.7,14,100,200,4.0,0.029309523809523806,3.4414141414141413,0.6244494858643538
4,0.7,15,100,200,4.0,0.04292857142857143,3.485252525252525,0.582386520192661
4,0.7,16,100,200,4.0,0.042,3.4682828282828284,0.537453097751734
4,0.7,17,100,200,4.0,0.04038888888888889,3.452121212121212,0.5707431718821355
4,0.7,18,100,200,4.0,0.019,3.487070707070707,0.5956750492391911
4,0.7,19,100,200,4.0,0.03776190476190476,3.51010101010101,0.604421145269866
4,0.7,20,100,200,4.0,0.03838095238095238,3.4973737373737372,0.5914594831804277
4,0.7,21,100,200,4.0,0.034428571428571426,3.4735353535353535,0.6093285716761795
4,0.7,22,100,200,4.0,0.045976190476190476,3.4905050505050506,0.553548953453058
4,0.7,23,100,200,4.0,0.011642857142857142,3.4905050505050506,0.5905645202117917
4,0.7,24,100,200,4.0,0.059761904761904766,3.47010101010101,0.4892222528544091
4,0.7,25,100,200,4.0,0.023357142857142858,3.4923232323232325,0.5762419048547394
4,0.7,26,100,200,4.0,0.05302380952380952,3.438787878787879,0.6094683143238626
4,0.7,27,100,200,4.0,0.02264285714285714,3.403232323232323,0.613154091366379
4,0.7,28,100,200,4.0,0.03364285714285714,3.448080808080808,0.5629084011524959
4,0.7,29,100,200,4.0,0.02395238095238095,3.442828282828283,0.5944816612936106
4,0.9,0,100,200,4.0,0.03809523809523809,3.474949494949495,0.5469277586494661
4,0.9,1,100,200,4.0,0.025206349206349205,3.449292929292929,0.5781313631202337
4,0.9,2,100,200,4.0,0.016,3.452929292929293,0.6029790669733226
4,0.9,3,100,200,4.0,0.025428571428571425,3.4509090909090907,0.5861590450523003
4,0.9,4,100,200,4.0,0.03766666666666667,3.4953535353535354,0.5701649006186543
4,0.9,5,100,200,4.0,0.03176190476190476,3.4634343434343435,0.5327763082222763
4,0.9,6,100,200,4.0,0.040761904761904756,3.4523232323232325,0.5680281570504084
4,0.9,7,100,200,4.0,0.01714285714285714,3.3915151515151516,0.6372517799690038
4,0.9,8,100,200,4.0,0.04742857142857143,3.4052525252525254,0.7053897562785172
4,0.9,9,100,200,4.0,0.05904761904761904,3.4646464646464645,0.5853768041125091
4,0.9,10,100,200,4.0,0.014428571428571428,3.410707070707071,0.5972192941910717
4,0.9,11,100,200,4.0,0.02430952380952381,3.4183838383838383,0.6503600363578405
4,0.9,12,100,200,4.0,0.02342857142857143,3.503030303030303,0.5000491308750997
4,0.9,13,100,200,4.0,0.030476190476190476,3.4216161616161616,0.5851090729134831
4,0.9,14,100,200,4.0,0.041833333333333333,3.4486868686868686,0.5800911142723228
4,0.9,15,100,200,4.0,0.044497835497835495,3.4305050505050505,0.6718981821853908
4,0.9,16,100,200,4.0,0.06383333333333333,3.5036363636363634,0.5322021688418174
4,0.9,17,100,200,4.0,0.04269047619047619,3.4824242424242424,0.5338682424054432
4,0.9,18,100,200,4.0,0.06583333333333333,3.492929292929293,0.6024593003294523
4,0.9,19,100,200,4.0,0.02219047619047619,3.4175757575757575,0.556290594651456
4,0.9,20,100,200,4.0,0.035238095238095235,3.415959595959596,0.6574120831624767
4,0.9,21,100,200,4.0,0.009333333333333334,3.406262626262626,0.6294104634566028
4,0.9,22,100,200,4.0,0.029714285714285714,3.419191919191919,0.5992304451794525
4,0.9,23,100,200,4.0,0.02980952380952381,3.4828282828282826,0.5925992372949875
4,0.9,24,100,200,4.0,0.05592063492063492,3.4452525252525255,0.5965969830237361
4,0.9,25,100,200,4.0,0.06255555555555556,3.492929292929293,0.5357469806660697
4,0.9,26,100,200,4.0,0.027428571428571427,3.4375757575757575,0.5554745750515887
4,0.9,27,100,200,4.0,0.018500000000000003,3.442222222222222,0.595035438573188
4,0.9,28,100,200,4.0,0.03614285714285714,3.4456565656565656,0.5105871221551164
4,0.9,29,100,200,4.0,0.04061904761904762,3.454141414141414,0.559688264266585
4,1.0,0,100,200,4.0,0.04261904761904762,3.44989898989899,0.5818146252999257
4,1.0,1,100,200,4.0,0.024642857142857143,3.4325252525252523,0.6059770037671318
4,1.0,2,100,200,4.0,0.04264285714285714,3.4482828282828284,0.5348256707161746
4,1.0,3,100,200,4.0,0.021142857142857144,3.4234343434343435,0.6239700632577987
4,1.0,4,100,200,4.0,0.038436507936507935,3.439191919191919,0.5715296805079236
4,1.0,5,100,200,4.0,0.036166666666666666,3.473737373737374,0.5635748300960328
4,1.0,6,100,200,4.0,0.031619047619047616,3.4482828282828284,0.50195599489486
