k,p,lambda2_mean,lambda2_sem,clustering_mean,clustering_sem,pathlen_mean,pathlen_sem,degvar_mean,degvar_sem,delta_mean,delta_sem,tstar_mean,tstar_sem,plateau_mean,plateau_sem
16,0.01,0.8902530357987448,0.012715135737708291,0.6815358399770164,0.0013641747789634295,2.84830303030303,0.03589410644960958,0.15300000000000002,0.012335229820998153,0.14553454235005356,0.0057517412694110225,229.85,41.336760433757924,0.02533419958905086,0.0001241511415760634
16,0.03,1.1536365134222892,0.02017180811192034,0.6475893903310312,0.0021350741196849996,2.496656565656566,0.010236942613208608,0.471,0.02381839183223091,0.12794874537032785,0.006216141893183192,252.75,31.464673173175285,0.02406424431526806,0.00016309123683669422
16,0.05,1.3919053356651299,0.023802500788444706,0.6104538675119171,0.003111539669689559,2.3772727272727274,0.007826233203924279,0.7580000000000001,0.031284770130292835,0.12308377603610972,0.0037107341826359136,192.1,32.60488339271636,0.02319854862211341,8.77145931745072e-05
16,0.1,2.115356526987678,0.043648967671461855,0.5289961673732184,0.004522159012638333,2.2214242424242423,0.006758688199574581,1.5030000000000001,0.05537004700434304,0.12052754635251688,0.004140861691429957,297.05,32.10726061517124,0.02192266455130763,8.220752012212394e-05
16,0.2,3.591281774579373,0.059014373253569265,0.40602847319743274,0.004476200291758622,2.0639898989898993,0.004480973919153651,2.891,0.09542674236237313,0.1068014530728149,0.0022061928284157015,239.0,30.461364658237247,0.021001980920930512,4.169491508950577e-05
16,0.3,4.870331419229973,0.057784036753156603,0.30589517586405457,0.003321457233016893,1.9800303030303028,0.002372850400417933,3.783,0.10363168586773774,0.10644219161861054,0.003687889110495625,238.4,29.519075010468807,0.02064913493679951,3.287269877402902e-05
16,0.4,5.990836475131397,0.0855602421444567,0.24735988031071993,0.0030273556728088176,1.939070707070707,0.0020939951594305187,4.875,0.14900989016981744,0.10475945415144021,0.002707606418621534,191.65,29.43666483897429,0.02047752284204779,3.329943172789193e-05
16,0.5,7.0851149508274585,0.06669864515055539,0.20214904807284464,0.001806680744398322,1.9123434343434347,0.0011009540099549743,5.896000000000001,0.2532758014081633,0.10768305094538293,0.0031969567346438422,165.2,26.268612449080745,0.020370622921350504,3.206890522423519e-05
16,0.7,8.030768364539233,0.05789803719016274,0.15914719890476556,0.0010836052407138949,1.8935151515151518,0.0009578063280486593,6.617,0.1587734234687909,0.10838613568589202,0.0029414547825881857,274.4,31.23176520619251,0.020291916065097865,2.2137440762953593e-05
16,0.9,8.088551260030423,0.09517420808893887,0.15318209486590592,0.0014845504392622122,1.8913131313131313,0.0006900822346413277,6.927,0.2537851349800498,0.10652563296206333,0.003131105225101995,276.3,30.5649524094096,0.020235000044879183,3.325031889197662e-05
16,1.0,8.013472562441828,0.07451135613736702,0.153082787254063,0.0011102751243050818,1.8918181818181818,0.0008681179596727049,6.939000000000002,0.15368782439875012,0.10794486116172937,0.0027939141120035755,265.3,29.99342910495037,0.020324034438576794,2.879807400375085e-05
