p,realization,N,E,k_mean,C,L,lambda2
0.8,22,100,500,10.0,0.09199583912819208,2.235353535353535,3.9073608619396776
0.8,23,100,500,10.0,0.09036574536574536,2.217979797979798,3.9501757324284448
0.8,24,100,500,10.0,0.08904895104895104,2.222020202020202,3.889380341325717
0.8,25,100,500,10.0,0.1012151737151737,2.23010101010101,3.7129489647210714
0.8,26,100,500,10.0,0.07875985125985126,2.2266666666666666,3.9339758316499456
0.8,27,100,500,10.0,0.09253943278943279,2.222828282828283,4.0541566994209575
0.8,28,100,500,10.0,0.0872133422133422,2.22,4.058549878426696
0.8,29,100,500,10.0,0.08987451437451437,2.2266666666666666,3.9733266405240264
1.0,0,100,500,10.0,0.09522677322677323,2.2248484848484846,3.7697261525022014
1.0,1,100,500,10.0,0.08263015415956593,2.2165656565656566,3.841792104466637
1.0,2,100,500,10.0,0.08984249084249084,2.2151515151515153,3.9282006836536105
1.0,3,100,500,10.0,0.09350119488354781,2.2165656565656566,3.9929168298189994
1.0,4,100,500,10.0,0.09313625263625264,2.217171717171717,4.008597157623396
1.0,5,100,500,10.0,0.08963292263292263,2.218989898989899,3.7828677001789344
1.0,6,100,500,10.0,0.08377145077145076,2.213939393939394,4.104330274507922
1.0,7,100,500,10.0,0.09285431235431235,2.215353535353535,3.814412052696572
1.0,8,100,500,10.0,0.09517432567432568,2.2195959595959596,4.117779168621618
1.0,9,100,500,10.0,0.08307392607392608,2.2187878787878788,3.6992144605377826
1.0,10,100,500,10.0,0.08477458652458653,2.216767676767677,3.910442964137581
1.0,11,100,500,10.0,0.08861776132364367,2.2337373737373736,3.755730652329085
1.0,12,100,500,10.0,0.0898954933954934,2.2240404040404043,4.065703327723915
1.0,13,100,500,10.0,0.0904462481962482,2.220808080808081,3.9366850390909445
1.0,14,100,500,10.0,0.09180450105450105,2.213939393939394,3.897922248083995
