k,p,realization,N,E,k_mean,C,L,lambda2
8,0.1,17,100,400,8.0,0.47784126984126984,3.1672727272727275,0.4419462619676082
8,0.1,18,100,400,8.0,0.46455555555555555,3.0391919191919192,0.5149279141903067
8,0.1,19,100,400,8.0,0.4668174603174603,3.0125252525252524,0.6027813688622667
8,0.1,20,100,400,8.0,0.4896269841269841,3.048888888888889,0.6381059080168682
8,0.1,21,100,400,8.0,0.47855050505050506,2.994747474747475,0.5708837226535545
8,0.1,22,100,400,8.0,0.45774675324675324,2.945858585858586,0.6727879545753612
8,0.1,23,100,400,8.0,0.4838174603174603,3.0521212121212122,0.6287834553543714
8,0.1,24,100,400,8.0,0.4914408369408369,3.1121212121212123,0.5313326352399761
8,0.1,25,100,400,8.0,0.48339682539682544,3.1646464646464647,0.481931362006013
8,0.1,26,100,400,8.0,0.44878643578643573,2.9925252525252524,0.4931062005211349
8,0.1,27,100,400,8.0,0.47424891774891775,3.0472727272727274,0.6806129811305037
8,0.1,28,100,400,8.0,0.4623239538239538,2.9967676767676767,0.6723121856060984
8,0.1,29,100,400,8.0,0.44236507936507935,2.9331313131313133,0.7136515527966114
8,0.2,0,100,400,8.0,0.3458145743145743,2.732727272727273,1.1509845532717071
8,0.2,1,100,400,8.0,0.3193066378066378,2.6535353535353536,1.3309396079225757
8,0.2,2,100,400,8.0,0.3698968253968254,2.735959595959596,1.1216552094179013
8,0.2,3,100,400,8.0,0.35205772005772007,2.715959595959596,1.1042260547596514
8,0.2,4,100,400,8.0,0.39776190476190476,2.843838383838384,0.7261688002652251
8,0.2,5,100,400,8.0,0.3286399711399712,2.725050505050505,1.1017176386747203
8,0.2,6,100,400,8.0,0.3541565656565656,2.750909090909091,1.0184607217755013
8,0.2,7,100,400,8.0,0.40171212121212124,2.8430303030303032,0.8312478850695988
8,0.2,8,100,400,8.0,0.41988816738816737,2.8785858585858586,0.8303818415653947
8,0.2,9,100,400,8.0,0.3292979797979798,2.7026262626262625,1.165595494677479
8,0.2,10,100,400,8.0,0.3511774891774892,2.716969696969697,1.068400253528841
8,0.2,11,100,400,8.0,0.37437878787878787,2.7755555555555556,0.9350307382076337
8,0.2,12,100,400,8.0,0.3408340548340549,2.7195959595959596,1.1363035012345462
8,0.2,13,100,400,8.0,0.36992640692640694,2.741212121212121,1.0398537819141438
8,0.2,14,100,400,8.0,0.391031746031746,2.768686868686869,1.178270880559408
8,0.2,15,100,400,8.0,0.3067077922077922,2.655353535353535,1.5028780966734225
8,0.2,16,100,400,8.0,0.34185642135642136,2.70020202020202,1.2457815951232014
8,0.2,17,100,400,8.0,0.36784271284271286,2.7204040404040404,1.1628075809517053
8,0.2,18,100,400,8.0,0.3119033189033189,2.6676767676767676,1.3013169046793562
8,0.2,19,100,400,8.0,0.34080952380952384,2.6975757575757577,1.2491346275049005
8,0.2,20,100,400,8.0,0.3302402597402597,2.6981818181818182,1.221079153659982
8,0.2,21,100,400,8.0,0.37026118326118324,2.7452525252525253,1.0453706863509649
8,0.2,22,100,400,8.0,0.33109668109668106,2.7024242424242426,1.1959134403415443
8,0.2,23,100,400,8.0,0.3272987012987013,2.655959595959596,1.3639151312601834
8,0.2,24,100,400,8.0,0.3679978354978355,2.767878787878788,1.0850511532298976
8,0.2,25,100,400,8.0,0.3510079365079365,2.7365656565656566,0.9526976239391223
8,0.2,26,100,400,8.0,0.3163174603174603,2.6765656565656566,1.3686642953311932
8,0.2,27,100,400,8.0,0.36685192585192583,2.7765656565656567,0.8525466995232698
8,0.2,28,100,400,8.0,0.42089105339105337,2.8486868686868685,0.8051851748401792
8,0.2,29,100,400,8.0,0.3488008658008658,2.7181818181818183,1.1135503129440905
8,0.3,0,100,400,8.0,0.2712200577200577,2.648282828282828,1.223032608339679
8,0.3,1,100,400,8.0,0.2278203463203463,2.5765656565656565,1.6715235988296475
8,0.3,2,100,400,8.0,0.24723304473304475,2.5816161616161617,1.7817416657922818
8,0.3,3,100,400,8.0,0.29514141414141415,2.6387878787878787,1.4286454280036711
8,0.3,4,100,400,8.0,0.2877799422799423,2.6347474747474746,1.2641134003449757
8,0.3,5,100,400,8.0,0.2563874458874459,2.606060606060606,1.6312460531581354
8,0.3,6,100,400,8.0,0.2910721500721501,2.6058585858585857,1.3798561799119478
8,0.3,7,100,400,8.0,0.2283932178932179,2.557979797979798,1.7843197382099287
8,0.3,8,100,400,8.0,0.27594588744588744,2.6016161616161617,1.5644049334707346
8,0.3,9,100,400,8.0,0.2651305916305916,2.595151515151515,1.400429818012123
8,0.3,10,100,400,8.0,0.2784025974025974,2.5925252525252525,1.4248692012095017
8,0.3,11,100,400,8.0,0.25523953823953827,2.573131313131313,1.6508327724000664
8,0.3,12,100,400,8.0,0.2433152958152958,2.5850505050505053,1.722155610697069
8,0.3,13,100,400,8.0,0.28146176046176047,2.6183838383838385,1.3719099358288267
8,0.3,14,100,400,8.0,0.28519347319347316,2.6163636363636362,1.4455354239001814
8,0.3,15,100,400,8.0,0.2602366522366522,2.6014141414141414,1.4839843797003895
8,0.3,16,100,400,8.0,0.2911738816738817,2.6361616161616164,1.4276078963329812
8,0.3,17,100,400,8.0,0.24517460317460316,2.5915151515151513,1.5127265147335451
8,0.3,18,100,400,8.0,0.26932700632700635,2.596969696969697,1.474521037216939
8,0.3,19,100,400,8.0,0.2701349206349206,2.5927272727272728,1.4737513656903731
8,0.3,20,100,400,8.0,0.29708802308802307,2.6218181818181816,1.423722346932596
8,0.3,21,100,400,8.0,0.2927005772005772,2.660808080808081,1.364248875506683
8,0.3,22,100,400,8.0,0.23997619047619045,2.5636363636363635,1.6783623874934184
8,0.3,23,100,400,8.0,0.24703968253968253,2.5814141414141414,1.6419574112112048
8,0.3,24,100,400,8.0,0.27144660894660894,2.6076767676767676,1.4661947048810386
8,0.3,25,100,400,8.0,0.24602164502164503,2.618989898989899,1.435417930736144
8,0.3,26,100,400,8.0,0.26289682539682535,2.6094949494949495,1.4862268006421824
8,0.3,27,100,400,8.0,0.2568506493506494,2.5894949494949495,1.46514858363608
8,0.3,28,100,400,8.0,0.279503885003885,2.6117171717171717,1.6017933825120543
8,0.3,29,100,400,8.0,0.30205772005772,2.6391919191919193,1.2513262488065429
8,0.4,0,100,400,8.0,0.19304040404040404,2.532121212121212,1.7306047121850303
8,0.4,1,100,400,8.0,0.23826190476190476,2.5676767676767676,1.769708019880933
8,0.4,2,100,400,8.0,0.17712570762570765,2.521010101010101,1.9433126932224631
8,0.4,3,100,400,8.0,0.18458152958152957,2.507878787878788,1.9296884546522697
8,0.4,4,100,400,8.0,0.20695021645021644,2.5355555555555553,2.017749372779554
8,0.4,5,100,400,8.0,0.18625974025974024,2.513737373737374,2.084541161833963
8,0.4,6,100,400,8.0,0.20617893217893218,2.514949494949495,1.9133830552743236
8,0.4,7,100,400,8.0,0.20092690642690642,2.5315151515151517,1.8827636654640467
8,0.4,8,100,400,8.0,0.1962215007215007,2.5109090909090908,2.0012630215084335
8,0.4,9,100,400,8.0,0.1952112887112887,2.5206060606060605,1.7560740795839347
8,0.4,10,100,400,8.0,0.17417171717171714,2.5028282828282826,2.0409416223799304
8,0.4,11,100,400,8.0,0.18845404595404594,2.521212121212121,1.9900766234440883
8,0.4,12,100,400,8.0,0.1917936507936508,2.49959595959596,2.1599617927460875
8,0.4,13,100,400,8.0,0.16346991896991894,2.5072727272727273,1.9599483881304363
8,0.4,14,100,400,8.0,0.19565079365079363,2.5244444444444443,1.6910872040174074
8,0.4,15,100,400,8.0,0.1561259851259851,2.485252525252525,2.045885556595695
8,0.4,16,100,400,8.0,0.17383910533910535,2.501818181818182,2.086573912312241
8,0.4,17,100,400,8.0,0.18003607503607505,2.517777777777778,2.0422580199642533
8,0.4,18,100,400,8.0,0.21519191919191918,2.5315151515151517,1.8182588902870205
8,0.4,19,100,400,8.0,0.19942640692640695,2.506060606060606,1.9881270363095933
